District,District_Code,ELA_Scores,Math_Scores,Total_Per_Pupil_Expenditures,Black,Hispanic,White,Asian,Other,Year,County,Area_Type
Lebanon School District,710011,395.0,394.0,22826,0.009,0.088,0.863,0.009,0.018,2021-22,,
Ledyard School District,720011,1055.0,1053.0,17413,0.042,0.123,0.706,0.037,0.055,2021-22,New London,
Lisbon School District,730011,249.0,248.0,18362,0.0,0.146,0.78,0.0,0.05,2021-22,,
Litchfield School District,740011,369.0,369.0,23554,0.009,0.079,0.873,0.017,0.015,2021-22,,
Madison School District,760011,1031.0,1030.0,24601,0.008,0.069,0.847,0.034,0.04,2021-22,New Haven,
Manchester School District,770011,2641.0,2619.0,19931,0.246,0.341,0.295,0.081,0.027,2021-22,Hartford,
Mansfield School District,780011,626.0,624.0,24767,0.038,0.165,0.644,0.116,0.0,2021-22,,
Marlborough School District,790011,243.0,243.0,18319,0.0,0.092,0.851,0.018,0.022,2021-22,,
Meriden School District,800011,3974.0,3945.0,16794,0.116,0.603,0.218,0.019,0.042,2021-22,New Haven,
Middletown School District,830011,2006.0,1998.0,23702,0.22,0.178,0.437,0.051,0.106,2021-22,Middlesex,
Milford School District,840011,2309.0,2306.0,24217,0.048,0.155,0.663,0.09,0.041,2021-22,New Haven,
Monroe School District,850011,1512.0,1507.0,19232,0.035,0.156,0.715,0.052,0.04,2021-22,,
Montville School District,860011,942.0,943.0,20037,0.039,0.165,0.601,0.064,0.121,2021-22,,
Naugatuck School District,880011,1907.0,1903.0,16735,0.122,0.374,0.426,0.023,0.052,2021-22,New Haven,
New Beginnings Inc Family Academy District,2800013,166.0,166.0,17896,0.537,0.448,0.0,0.0,0.0,2021-22,,
New Britain School District,890011,4371.0,4328.0,18409,0.111,0.677,0.133,0.02,0.143,2021-22,Hartford,
New Canaan School District,900011,1927.0,1925.0,24716,0.013,0.062,0.799,0.07,0.053,2021-22,Fairfield,
New Fairfield School District,910011,938.0,935.0,22062,0.023,0.176,0.758,0.011,0.028,2021-22,,
New Hartford School District,920011,244.0,243.0,20891,0.0,0.077,0.892,0.0,0.0,2021-22,,
New Haven School District,930011,8023.0,7964.0,20451,0.344,0.485,0.105,0.032,0.031,2021-22,New Haven,
New London School District,950011,1322.0,1315.0,22725,0.163,0.575,0.128,0.013,0.114,2021-22,New London,
New Milford School District,960011,1545.0,1534.0,19376,0.034,0.232,0.675,0.035,0.021,2021-22,Litchfield,
