District,District_Code,ELA_Scores,Math_Scores,Total_Per_Pupil_Expenditures,Black,Hispanic,White,Asian,Other,Year,County,Area_Type
Salem School District,1210011,254.0,253.0,20816.0,0.0,9.3,81.3,0.0,7,2023-24,,
Salisbury School District,1220011,187.0,187.0,27587.0,2.3,10.2,78.9,0.0,6.9,2023-24,,
Scotland School District,1230011,49.0,49.0,24010.0,0.0,9.7,90.3,0.0,0,2023-24,,
Seymour School District,1240011,933.0,932.0,18869.0,7.7,23.3,63.3,3.6,0,2023-24,,
Sharon School District,1250011,63.0,63.0,47607.0,0.0,12.3,83.0,0.0,0,2023-24,,
Shelton School District,1260011,2085.0,2083.0,19042.0,9.3,24.0,56.9,5.4,4.2,2023-24,Fairfield,
Sherman School District,1270011,146.0,147.0,27183.0,0.0,9.3,82.5,0.0,6.9,2023-24,,
Side By Side Charter School District,2700013,132.0,132.0,16296.0,23.2,58.5,11.4,0.0,0,2023-24,,
Simsbury School District,1280011,1874.0,1874.0,20807.0,6.2,11.0,70.7,6.4,5.6,2023-24,Hartford,
Somers School District,1290011,606.0,598.0,21032.0,2.4,6.2,87.8,0.0,2.4,2023-24,,
South Windsor School District,1320011,2332.0,2328.0,18218.0,5.9,10.8,46.1,32.3,4.6,2023-24,Hartford,
Southington School District,1310011,2729.0,2721.0,18965.0,2.5,13.0,74.2,4.9,5.3,2023-24,Hartford,
Sprague School District,1330011,171.0,171.0,19606.0,0.0,16.8,64.3,0.0,14.8,2023-24,,
Stafford School District,1340011,562.0,560.0,23428.0,0.0,9.0,86.0,0.9,3.1,2023-24,,
Stamford Charter School for Excellence District,2960013,335.0,335.0,11220.0,42.2,28.5,3.1,22.2,3,2023-24,,
Stamford School District,1350011,7095.0,7064.0,23201.0,12.8,51.6,26.1,5.9,3.7,2023-24,Fairfield,
Sterling School District,1360011,190.0,190.0,20211.0,2.1,9.5,79.0,0.0,8.5,2023-24,,
Stonington School District,1370011,756.0,757.0,25567.0,0.7,7.9,83.5,1.6,6,2023-24,,
Stratford School District,1380011,2875.0,2872.0,20911.0,26.1,42.1,26.0,2.2,3.6,2023-24,Fairfield,
Suffield School District,1390011,884.0,885.0,20794.0,3.6,8.9,81.2,4.5,1.5,2023-24,,
The Bridge Academy District,2690013,94.0,94.0,18035.0,49.5,45.9,0.0,0.0,2.1,2023-24,,
The Gilbert School District,9020022,160.0,160.0,,0.0,20.6,68.0,3.6,5.6,2023-24,,
Thomaston School District,1400011,379.0,378.0,21747.0,1.8,10.6,82.2,1.9,3.5,2023-24,,
Thompson School District,1410011,401.0,400.0,24079.0,0.9,7.8,87.0,1.2,3.1,2023-24,,
Tolland School District,1420011,898.0,897.0,20365.0,3.1,9.6,80.2,3.2,3.8,2023-24,,
Torrington School District,1430011,1845.0,1842.0,21305.0,6.2,41.2,45.8,4.1,2.3,2023-24,Litchfield,
Trumbull School District,1440011,3085.0,3085.0,19452.0,6.9,20.3,59.5,10.1,3.2,2023-24,Fairfield,
Union School District,1450011,30.0,30.0,25429.0,0.0,0.0,92.2,0.0,0,2023-24,,
Vernon School District,1460011,1335.0,1334.0,19243.0,10.1,23.8,50.0,7.2,8.8,2023-24,Tolland,
Voluntown School District,1470011,137.0,137.0,23596.0,0.0,5.5,86.0,0.0,4.7,2023-24,,
Wallingford School District,1480011,2204.0,2191.0,23520.0,2.0,21.6,67.9,4.5,3.8,2023-24,New Haven,
Waterbury School District,1510011,8003.0,7970.0,20266.0,21.1,62.5,10.1,1.6,4.7,2023-24,New Haven,
Waterford School District,1520011,1012.0,1010.0,23838.0,2.6,15.0,71.3,5.0,5.6,2023-24,New London,
Watertown School District,1530011,1164.0,1159.0,20737.0,4.3,11.6,78.3,1.2,4.1,2023-24,Litchfield,
West Hartford School District,1550011,3983.0,3973.0,21708.0,8.1,21.3,53.6,10.4,6.6,2023-24,Hartford,
West Haven School District,1560011,2594.0,2592.0,18600.0,23.9,40.9,25.0,5.4,4.9,2023-24,New Haven,
Westbrook School District,1540011,245.0,245.0,33851.0,0.0,25.8,69.8,0.0,2,2023-24,,
Weston School District,1570011,978.0,977.0,27531.0,0.0,9.7,75.0,6.0,7.8,2023-24,,
Westport School District,1580011,2383.0,2380.0,26864.0,2.1,8.2,75.9,6.5,7.1,2023-24,Fairfield,
Wethersfield School District,1590011,1568.0,1565.0,19741.0,4.7,21.5,64.2,5.0,4.7,2023-24,Hartford,
Willington School District,1600011,250.0,249.0,27211.0,1.5,10.2,81.7,1.5,4.1,2023-24,,
Wilton School District,1610011,1632.0,1624.0,24558.0,1.1,6.5,74.5,11.2,6.6,2023-24,,
Winchester School District,1620011,299.0,301.0,23080.0,2.1,15.0,77.1,1.9,3.6,2023-24,,
Windham School District,1630011,1489.0,1485.0,23352.0,3.3,72.3,21.2,0.9,2.4,2023-24,Windham,
Windsor Locks School District,1650011,617.0,615.0,23662.0,11.7,18.6,56.9,5.6,7.1,2023-24,Hartford,
Windsor School District,1640011,1349.0,1338.0,22687.0,40.9,25.2,21.0,3.5,9.1,2023-24,Hartford,
Wolcott School District,1660011,940.0,939.0,18475.0,4.1,17.3,72.3,2.9,3.1,2023-24,,
Woodbridge School District,1670011,475.0,474.0,20283.0,0.0,8.4,64.6,16.0,9,2023-24,,
Woodstock School District,1690011,508.0,508.0,19818.0,0.0,5.4,87.2,0.0,5.8,2023-24,,
Goodwin University Educational Services (GUES),2310018,418.0,418.0,20132.0,32.4,47.0,12.2,2.6,5.3,2023-24,,
